,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
12474,35,3,3,0.16,1,0
12475,139,1,6,1.38,1,36
12476,50,3,7,0.42,2,0
12477,55,2,14,0.79,1,41
12478,40,2,4,0.22,1,0
12479,160,3,1,0.06,2,29
12480,52,2,86,4.71,2,122
12481,25,2,3,0.31,1,0
12482,54,1,1,0.05,2,0
12485,31,2,12,0.66,1,0
12486,50,2,16,0.89,1,0
12487,110,28,25,1.46,1,61
12488,70,8,26,1.43,1,25
12489,19,6,1,0.06,1,0
12490,35,1,2,0.11,1,0
12492,66,2,36,2.04,1,64
12493,200,2,10,0.58,2,207
12495,45,5,5,0.33,1,2
12496,60,3,5,0.29,1,4
12497,50,1,31,1.74,1,4
12498,41,6,13,0.7,2,30
12499,41,2,16,0.87,1,39
12500,70,1,34,1.92,1,365
12501,39,1,30,1.62,2,22
12502,41,9,16,0.89,1,223
12503,52,1,52,2.91,45,141
12504,52,1,57,3.2,45,125
12505,30,4,13,0.72,1,0
12506,50,2,3,0.17,1,0
12507,119,2,25,1.4,1,322
12508,49,3,68,3.86,1,38
12509,60,3,3,0.18,1,270
12510,30,1,5,1.42,1,18
12511,69,5,2,0.11,1,0
12512,28,3,7,0.4,2,6
12513,60,4,13,0.77,1,0
12514,45,3,1,0.06,1,0
12515,99,3,81,4.5,1,323
12516,38,30,45,2.46,1,342
12517,70,2,58,3.28,2,334
12520,53,2,34,1.92,1,153
12521,49,7,1,0.06,1,0
12523,60,2,47,2.66,1,151
12524,84,3,62,3.39,1,327
12525,50,2,12,0.84,1,0
12527,25,2,26,2.3,1,79
12528,42,1,7,0.41,1,0
12530,35,2,4,0.22,1,0
12531,29,4,18,0.99,2,128
12532,100,1,3,0.17,1,0
12533,58,2,2,0.11,1,0
12534,78,2,2,0.11,1,0
12535,29,3,13,0.73,1,69
12536,25,4,6,0.34,1,0
12537,50,2,21,1.38,2,28
12538,59,5,84,4.84,3,219
12539,80,1,1,0.05,1,0
12540,41,2,3,0.16,1,0
12541,70,1,34,1.87,1,88
12542,139,3,7,0.4,1,10
12543,40,7,20,1.13,1,252
12544,52,2,2,0.25,1,0
12547,35,2,57,3.19,1,191
12548,27,1,5,0.29,1,0
12549,55,1,7,0.41,1,94
12551,22,2,4,0.22,1,0
12552,100,2,30,1.75,2,342
12553,35,1,3,0.16,2,279
12554,30,2,5,0.29,1,0
12555,55,1,6,0.33,1,0
12556,120,2,73,4.07,1,333
12559,21,4,1,0.05,1,0
12560,189,1,11,0.62,1,167
12561,40,2,17,0.93,3,0
12562,75,2,8,0.49,2,324
12564,80,2,28,1.59,2,344
12565,23,21,10,0.59,1,0
12567,18,1,4,0.22,1,0
12568,90,1,3,1.03,1,0
12569,24,3,9,0.49,1,9
12570,35,1,1,0.05,1,0
12572,30,3,4,0.23,1,0
12574,70,14,1,0.37,1,52
12575,27,2,17,0.92,1,354
12576,107,4,18,1.11,1,19
12577,30,6,51,2.86,1,21
12579,29,28,15,0.83,1,0
12580,50,1,10,0.57,1,116
12581,75,2,48,2.62,3,47
12582,35,3,10,0.56,1,360
12583,65,2,23,1.32,2,0
12586,34,1,1,0.06,1,0
12587,10,1,82,4.6,3,16
12588,17,2,21,1.16,1,89
12589,25,5,1,0.06,1,364
12590,250,3,27,1.66,1,139
12591,62,5,1,0.05,1,0
12592,29,1,16,0.87,1,0
12594,56,1,32,1.82,3,364
12595,40,3,16,0.99,2,3
12596,32,1,1,0.06,1,0
12598,30,3,4,0.29,1,0
12599,49,1,25,1.39,1,310
12600,25,8,7,0.4,1,125
12601,30,1,9,0.53,2,76
12602,45,1,2,0.27,2,279
12603,12,3,1,0.06,3,0
12604,35,1,18,0.99,1,0
12605,49,1,1,0.37,2,85
12606,150,2,3,0.17,5,0
12607,37,2,44,2.47,1,16
12608,35,2,3,1.36,1,0
12609,25,2,2,0.13,1,0
12610,38,1,11,0.65,2,21
12611,150,3,10,0.57,1,27
