,room_type
953,1
954,0
955,0
956,1
958,1
959,0
960,0
963,1
964,0
965,1
967,1
969,1
970,0
971,0
973,1
975,0
976,0
977,0
978,0
979,1
980,1
981,1
982,0
983,0
984,0
985,0
986,1
987,0
988,0
989,1
991,0
992,0
993,0
994,0
995,1
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,1
1005,1
1006,1
1007,1
1008,0
1011,0
1012,0
1013,1
1014,0
1015,1
1016,0
1017,0
1018,1
1019,1
1020,1
1021,1
1022,0
1023,1
1024,1
1025,0
1026,1
1027,0
1028,0
1029,0
1030,0
1032,1
1033,1
1034,1
1035,1
1037,1
1038,0
1039,1
1040,1
1041,1
1042,0
1043,0
1044,0
1046,1
1047,1
1048,0
1050,0
1051,0
1053,1
1055,1
1056,0
1057,0
1058,1
1059,0
1060,0
1061,0
1062,1
1063,0
1065,0
1067,0
1068,0
1069,1
1070,0
1071,0
1072,0
1073,0
1075,1
1076,0
1078,0
1079,0
1081,0
1082,0
1083,0
1085,0
1086,0
1087,0
1089,0
1090,0
1092,0
1093,0
1094,1
1095,0
1096,0
1099,0
1100,0
1103,0
1104,1
1105,0
1106,0
1107,0
1108,0
1109,0
1110,1
1111,1
1112,1
1113,0
1114,0
1115,0
1116,0
1117,0
1118,1
1119,0
1120,0
1121,0
1122,0
1123,1
1124,0
1125,1
1126,0
1127,0
1129,0
1130,1
1131,0
1132,1
1133,0
1134,1
1135,1
1137,0
1138,0
1139,0
1140,0
1142,0
1143,0
1144,0
1145,0
1146,0
1147,0
1148,0
1149,0
1150,0
1151,0
1152,0
1153,0
1155,0
1156,1
1157,0
1158,0
1159,0
1160,0
1162,1
1163,0
1164,1
1165,0
1166,0
1167,0
1168,0
1169,0
1170,0
1172,0
1173,1
1174,0
1175,0
1177,0
1178,0
1179,0
1180,0
1181,1
1183,1
1184,0
1185,0
1186,0
1187,1
1188,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,0
1196,1
1197,2
1198,0
1199,0
1200,1
1201,1
1202,0
1203,1
1205,1
1206,0
1207,1
1208,1
1209,1
1210,0
1211,1
1212,0
1213,0
1214,1
1215,0
1216,0
1217,1
1218,0
1219,0
1220,0
1222,0
1223,1
1224,0
1225,1
1226,0
1227,0
1228,0
1229,0
1230,0
1231,1
1232,0
1233,1
1235,0
1236,1
1237,0
1238,1
1239,1
1240,0
1241,1
1242,1
1244,1
1245,1
1246,1
1247,1
1248,1
1249,0
1250,1
1251,1
1252,0
1253,0
1254,0
1255,1
1256,0
1258,1
1259,0
1261,1
1262,1
1263,1
1264,1
1265,0
1266,1
1267,0
1268,1
1269,1
1271,0
1272,1
1273,0
1274,0
1275,0
1276,1
1277,0
1278,1
1279,0
1282,0
1283,0
1284,0
1285,0
1287,1
1288,0
1290,1
1291,0
1292,1
1293,0
1294,0
1295,1
1296,0
1297,1
1298,2
1299,2
1300,2
1301,2
1302,0
1303,0
1304,1
1305,0
1306,0
1309,1
1312,0
1313,1
1314,0
1316,0
1317,0
1318,0
1319,0
1322,1
1324,1
1325,1
1328,1
1330,1
1331,0
1332,1
1333,1
1334,0
1335,1
1336,0
1337,1
1340,0
1341,1
1342,1
1343,1
1344,0
1345,1
1346,1
1347,1
1348,0
1349,1
1350,1
1351,0
1352,0
1353,0
1354,0
1355,0
1357,1
1358,0
1359,0
1360,0
1361,0
1362,0
1365,0
1366,1
1367,1
1370,0
1371,0
1373,0
1374,1
1375,0
1377,0
1378,0
1379,1
1380,0
1382,0
1383,0
1384,0
1385,0
1387,0
1390,0
1391,0
1392,1
1393,1
1395,1
1397,0
1398,0
1399,0
1400,0
1401,1
1402,0
1403,0
1404,0
1405,0
1406,1
1407,1
1408,1
1409,1
1410,1
1411,1
1412,1
1413,1
1414,0
1416,0
1417,1
1419,0
1420,1
1421,1
1422,0
1423,0
1424,0
1425,0
1426,0
1427,1
1428,1
1429,0
1431,0
1432,0
1433,0
1435,1
1436,0
1437,0
1438,0
1439,0
1441,0
1442,0
1443,0
1445,0
1446,0
1447,0
1448,1
1449,0
1451,0
1452,0
1453,0
1454,0
1455,0
1456,0
1457,0
1458,0
1459,0
1460,0
1461,0
1463,0
1464,1
1465,1
1467,1
1468,1
1469,0
1470,1
1471,0
1472,0
1473,1
1474,0
1476,0
1477,1
1478,0
1479,0
1480,1
1481,0
1482,1
1483,1
1484,1
1485,0
1488,0
1490,1
1491,1
1492,1
1493,1
1494,1
1495,1
1496,0
1497,1
1498,1
1499,0
1500,0
1501,0
1502,1
1503,0
1504,1
1506,1
1507,0
1508,0
1510,1
1511,0
1512,0
1513,0
1514,0
1515,1
1516,0
1517,1
1518,0
1519,0
1520,0
1521,0
1522,0
1524,0
1525,0
1526,0
1527,0
1528,1
1529,0
1530,0
1531,0
1532,0
1533,0
1534,0
1535,1
1537,1
1538,1
1539,1
1541,1
1542,0
1543,0
1544,1
1545,0
1546,0
1547,0
1548,0
1549,1
1550,1
1552,1
1553,0
1554,0
1555,0
1557,1
1559,1
1560,0
1563,0
1564,0
1565,0
1566,0
1567,1
1568,0
1569,0
1570,1
1571,0
1572,1
1573,1
1574,0
1575,0
1576,1
1577,0
1578,0
1579,0
1580,1
1581,0
1582,0
1583,0
1584,1
1585,0
1586,1
1587,0
1588,1
1591,0
1592,0
1593,1
1594,0
1595,0
1596,0
1597,0
1598,0
1599,1
1600,0
1601,0
1602,0
1603,0
1604,0
1607,0
1608,0
1609,1
1610,1
1611,0
1612,0
1614,1
1615,1
1616,0
1617,0
1620,0
1622,1
1623,0
1624,0
1625,0
1626,1
1627,0
1628,0
1629,0
1630,0
1631,0
1632,0
1633,1
1635,1
1636,0
1638,0
1639,0
1640,0
1642,0
1643,1
1644,0
1645,1
1646,0
1647,0
1648,0
1650,0
1651,1
1653,0
1654,1
1655,1
1656,0
1657,0
1661,0
1662,1
1663,0
1665,1
1666,0
1668,0
1669,0
1670,0
1672,1
1674,0
1675,0
1676,0
1677,1
1678,0
1679,0
1681,1
1682,0
1683,1
1684,0
1686,0
1687,1
1688,1
1689,0
1690,0
1691,0
1692,0
1693,1
1694,0
1696,1
1697,0
1698,1
1699,0
1700,1
1701,1
1702,0
1703,1
1704,0
1705,2
1706,0
1707,0
1708,0
1709,0
1710,0
1711,1
1712,1
1713,1
1714,0
1715,1
1716,0
1717,0
1718,0
1719,1
1720,1
1721,1
1722,1
1723,0
1724,0
1725,0
1726,0
1727,1
1728,0
1729,0
1730,0
1731,0
1733,1
1734,2
1735,0
1736,0
1737,0
1738,0
1739,0
1740,0
1741,0
1742,0
1743,1
1744,1
1745,0
1746,0
1747,0
1748,0
1749,0
1750,1
1751,1
1752,0
1754,1
1755,0
1756,0
1757,1
1758,1
1759,0
1760,1
1762,0
1765,0
1766,1
1767,1
1768,1
1769,1
1771,0
1774,0
1775,1
1776,0
1777,1
1778,1
1779,1
1780,0
1781,1
1782,0
1786,1
1787,1
1788,0
1791,0
1792,1
1793,0
1794,1
1795,1
1796,1
1797,1
1798,1
1799,0
1800,1
1801,0
1802,0
1803,0
1804,0
1805,1
1806,1
1807,0
1808,1
1809,0
1810,0
1811,1
1812,0
1813,1
1814,0
1815,0
1816,0
1817,0
1818,1
1820,0
1821,0
1822,1
1823,1
1824,1
1826,0
1827,0
1829,1
1830,0
1831,1
1832,0
1833,1
1834,1
1835,0
1836,1
1837,1
1838,0
1839,0
1840,1
1841,0
1842,0
1843,1
1844,1
1845,0
1846,1
1847,1
1848,0
1851,0
1852,1
1853,0
1854,0
1855,0
1857,0
1858,0
1859,1
1860,1
1861,0
1862,0
1863,0
1865,1
1866,0
1868,0
1869,0
1870,0
1871,1
1872,0
1873,0
1874,1
1875,0
1876,0
1877,0
1878,0
1879,1
1880,0
1882,1
1883,0
1884,0
1885,0
1887,0
1889,1
1890,0
1891,0
1892,0
1893,1
1894,0
1895,0
1896,0
1897,0
1898,1
1899,0
1900,0
1901,1
1902,1
1903,1
1904,1
1905,0
1906,1
1907,1
1908,0
1909,1
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1917,0
1918,1
1921,0
1922,1
1923,0
1925,1
1926,0
1927,0
1928,0
1929,0
1930,1
1931,1
1932,1
1933,1
1934,1
1935,0
1936,0
1937,1
1938,1
1939,0
1940,1
1941,0
1942,1
1943,1
1944,0
1945,0
1946,0
1947,1
1948,1
1949,0
1950,1
1951,0
1952,0
1953,0
1954,1
1955,0
1956,0
1957,0
1958,0
1959,1
1960,0
1961,0
1962,0
1963,0
1964,1
1965,1
1966,1
1968,0
1969,0
1970,1
1971,0
1972,0
1974,1
1975,0
1976,1
1977,0
1978,0
1979,0
1980,0
1981,0
1983,0
1984,1
1985,1
1986,0
1987,0
1988,0
1989,0
1990,0
1991,1
1992,1
1993,0
1994,0
1995,1
1996,1
1997,0
1998,1
1999,1
2000,1
2002,0
2003,0
2004,1
2006,1
2007,0
2008,0
2009,1
2010,1
2011,1
2012,0
2014,0
2015,0
2016,1
2017,0
2018,0
2020,1
2021,1
2022,1
2023,0
2025,0
2027,0
2028,1
2029,0
2030,1
2031,1
2032,1
2033,0
2034,0
2036,0
2037,1
2038,0
2039,0
2040,0
2041,0
2042,0
2043,1
2045,1
2046,1
2049,0
2051,0
2052,1
2053,0
2055,1
2056,1
2057,1
2058,1
2059,1
2060,1
2061,0
2062,1
2063,0
2064,1
2065,0
2066,1
2067,0
2069,1
2070,0
2071,1
2072,1
2073,0
2074,1
2075,0
2076,1
2077,0
2078,2
2079,2
2080,2
2081,2
2083,1
2084,1
2085,1
2086,0
2087,0
2088,0
2089,1
2090,0
2091,1
2092,0
2093,0
2094,0
2095,0
2096,0
2097,1
2098,0
2099,0
2100,1
2101,0
2102,0
2103,0
2104,0
2105,1
2106,1
2107,0
2108,1
2109,1
2110,0
2111,0
2112,0
2113,1
2114,0
2117,0
2118,1
2119,1
2120,0
2121,0
2122,1
2124,0
2125,0
2126,0
2127,1
2128,0
2129,0
2130,1
2131,0
2132,1
2133,0
2134,1
2135,0
2136,1
2137,0
2138,0
2139,1
2140,0
2142,1
2143,0
2144,1
2145,0
2146,1
2147,1
2148,0
2149,0
2150,1
2151,1
2152,0
2153,0
2154,1
2155,0
2156,0
2157,1
2159,1
2160,1
2161,1
2162,0
2163,1
2164,0
2165,0
2166,0
2167,1
2168,0
2169,0
2170,1
2171,1
2173,1
2175,0
2177,1
2179,0
2180,0
2181,1
2182,0
2183,1
2185,0
2186,0
2187,1
2188,1
2189,0
2190,0
2191,0
2192,1
2193,1
2196,0
2197,0
2198,1
2199,1
2200,1
2201,0
2202,1
2203,0
2204,1
2205,1
2206,1
2207,1
2208,1
2209,1
2210,0
2211,0
2212,0
2213,1
2214,1
2215,0
2216,0
2218,0
2219,0
2220,1
2221,0
2222,0
2223,1
2224,0
2225,1
2226,0
2227,1
2229,0
2231,0
2232,0
2233,1
2234,0
2236,1
2237,0
2238,1
2239,1
2242,0
2243,1
2244,0
2245,0
2247,0
2248,1
2249,0
2251,1
2252,1
2253,1
2254,0
2255,1
2256,1
2257,0
2258,0
2259,1
2260,0
2261,0
2262,0
2263,0
2264,0
2265,0
2267,1
2268,1
2269,0
2270,1
2272,1
2273,1
2274,1
2275,0
2277,0
2278,1
2279,0
2280,0
2281,1
2282,0
2283,0
2285,0
2286,0
2287,0
2288,0
2290,1
2291,0
2293,0
2295,0
2296,0
2297,1
2298,0
2299,0
2301,0
2303,1
2304,0
2305,1
2307,0
2313,0
2314,0
2315,0
2316,0
2317,0
2318,0
2319,0
2321,1
2322,0
2324,0
2325,0
2326,0
2327,1
2328,0
2330,1
2331,1
2332,1
2333,0
2334,0
2335,1
2336,0
2337,0
2338,0
2339,1
2340,0
2342,1
2343,1
2346,1
2347,0
2348,0
2350,1
2351,1
2352,0
2353,0
2355,1
2356,0
2357,0
2358,0
2359,0
2360,0
2361,0
2362,1
2363,1
2364,1
2365,1
2366,0
2367,1
2368,2
2369,1
2370,0
2371,1
2372,1
2373,0
2374,0
2375,0
2376,1
2377,0
2378,0
2379,0
2380,1
2381,1
2382,1
2383,0
2384,0
2385,0
2386,0
2388,0
2389,1
2390,0
2391,1
2392,1
2393,1
2394,0
2395,1
2396,0
2397,0
2398,2
2399,1
2401,1
2403,0
2404,1
2405,0
2406,0
2407,1
2408,1
2409,0
2410,0
2411,0
2412,0
2413,1
2414,1
2415,0
2416,0
2417,1
2418,1
2419,0
2420,0
2423,0
2424,0
2425,0
2426,1
2427,1
2428,0
2430,0
2431,0
2432,0
2433,0
2434,0
2436,1
2437,1
2438,1
2439,1
2440,1
2441,0
2442,0
2443,0
2444,0
2445,0
2447,1
2448,1
2449,1
2450,1
2451,1
2452,0
2453,0
2454,0
2456,1
2457,1
2458,0
2459,1
2460,0
2461,1
2462,1
2465,0
2467,0
2468,0
2469,1
2470,1
2472,1
2473,1
2474,0
2475,1
2476,1
2477,1
2478,0
2479,0
2481,1
2482,1
2483,0
2485,0
2486,1
2487,1
2488,1
2489,0
2490,1
2491,1
2492,1
2493,1
2494,0
2495,0
2496,1
2497,1
2498,0
2500,0
2502,1
2503,1
2505,1
2506,0
2507,1
2508,0
2509,1
2510,1
2512,1
2513,0
2514,0
2516,1
2517,0
2518,1
2519,1
2521,0
2522,0
2523,1
2524,1
2525,1
2526,0
2527,1
2528,0
2529,0
2530,0
2531,1
2532,1
2533,1
2534,1
2535,1
2536,1
2537,0
2538,1
2539,1
2540,0
2541,0
2542,1
2543,0
2545,1
2546,1
2547,1
2548,0
2549,0
2550,1
2551,0
2552,1
2554,0
2557,1
2558,0
2559,0
2560,0
2561,1
2562,0
2563,0
